,texto,sentiment,probabilities
232,"Ações da Via (VIIA3) e do Magazine Luiza (MGLU3) disparam; mercado vê menos risco de crise da Americanas afetar setor Para Fernando Damasceno, estrategista de renda variável do modalmais, os problemas da Americanas podem fazer com que as concorrentes tomem parte da participação de mercado da varejista",0,"[[0.9450600147247314, 0.0413435697555542, 0.01359635777771473]]"
233,Ações de bancos recuam com expectativa de batalha contra Americanas; BTG cai 4% Diversas instituições financeiras são credoras da varejista,0,"[[0.9952080845832825, 0.004241782706230879, 0.000550157215911895]]"
234,"Ações de tecnologia devem voltar a atrair investidores no 2º semestre de 2024, diz Pitchbook O recuo contínuo no valor de mercado de empresas de tecnologia, desde que o setor entrou em crise no começo de 2022, ainda não chegou ao fim, diz Kyle Stanford, analista-chefe da plataforma de dados",0,"[[0.5154954791069031, 0.47167646884918213, 0.012828056700527668]]"
235,Ações de varejistas recuam na B3 após governo manter regra de isenção para remessas de pessoas físicas A medida é vista como negativa para o setor no Brasil e positiva para plataformas estrangeiras,0,"[[0.9930559992790222, 0.006452498026192188, 0.0004915572935715318]]"
236,"Ações de varejistas se destacam na B3; Americanas segue em alta No acumulado de segunda e terça-feira, Americanas ON subiu 41,98%; outras varejistas também têm alta firme",2,"[[0.00151266239117831, 0.059185292571783066, 0.9393020868301392]]"
237,"Ações de varejistas têm aumento da volatilidade Juros, balanços e cenário externo causam impacto em indicador",0,"[[0.9383854866027832, 0.057481322437524796, 0.0041331094689667225]]"
238,Ações de varejistas têm forte alta após vitória de Lula As expectativas de apoio contínuo à renda e um potencial programa de reestruturação da dívida do consumidor estão entre as propostas que podem ser vistas como um suporte para o consumo no novo governo,2,"[[0.0006773194763809443, 0.003739341627806425, 0.9955833554267883]]"
239,"Ações do Bradesco (BBDC4, BBDC3) fecham entre maiores altas do Ibovespa após mudança de CEO O ano de 2023 foi difícil para o Bradesco, cujos resultados foram prejudicados pela alta na inadimplência e pela exposição à Americanas",0,"[[0.9968355298042297, 0.0024939621798694134, 0.0006705542327836156]]"
240,Ações do Magazine Luiza (MGLU3) disparam e sobem mais de 40% desde a crise na Americanas A leitura de parte dos  agentes é que companhias como a Magazine Luiza podem tomar uma parcela da participação de mercado da varejista em crise,1,"[[0.007900343276560307, 0.9905755519866943, 0.0015241596847772598]]"
241,"Ações ligadas à economia local se destacam Percepção de fim de ciclo de alta de juros alimenta movimento, mas analistas veem incertezas adiante",0,"[[0.9077897071838379, 0.08986059576272964, 0.002349735703319311]]"
242,"B3 é usina de dados e será grande nessa área, diz presidente Fruto da união entre BM&FBovespa e Cetip, empresa busca diversificação para ter receita menos dependente dos ciclos de mercado",1,"[[0.00039139061118476093, 0.9010754823684692, 0.09853314608335495]]"
243,"BB planeja campanha massiva de incentivo para adesão ao Desenrola Executivo disse que o banco considera o programa “um sucesso”, mas que há espaço para aprimoramentos",2,"[[0.000586140260566026, 0.1457723081111908, 0.8536416292190552]]"
244,"BB renegociou R$ 183 milhões na Faixa 1 do Desenrola Presidente Lula (PT) elogiou o Desenrola, mas questionou sobre devedores que não apareceram e descontos até 90%",1,"[[0.007154623977839947, 0.7350493669509888, 0.2577959895133972]]"
245,"BB tem lucro de R$ 8,8 bi no 3º trimestre Resultado foi afetado pelo caso Americanas, que impulsionou as provisões e a inadimplência",0,"[[0.7539879679679871, 0.17388410866260529, 0.07212790101766586]]"
246,"BC aprova mudança a Nubank que reduz  requerimentos de capital de risco operacional  O BC aprovou a adoção da Abordagem Padronizada Alternativa (em inglês, “Alternative Standardized Approach” — ou ASA)",1,"[[0.0007766541093587875, 0.5103747844696045, 0.48884859681129456]]"
247,"BC cita moderação e planeja outros cortes de 0,50 na Selic nas próximas reuniões Com o último corte, a taxa foi para 11,75% ao ano",1,"[[0.0013072750298306346, 0.9974803328514099, 0.0012123859487473965]]"
248,"BC entende que ritmo de 0,50 é apropriado e que Selic terminal deve permanecer restritiva, reitera Campos “Pretendemos continuar com esse ritmo nas próximas reuniões e vamos avaliar na próxima reunião”, disse presidente do Banco Central em evento na Febraban",1,"[[0.0006195358582772315, 0.9981372356414795, 0.0012432049261406064]]"
249,"BC julga 206 processos entre 2018 e 2022 Atuação sancionadora resultou na aplicação de multas de R$ 132 milhões e de mais US$ 88 milhões referentes a operações de câmbio, por exemplo, mostra estudo",0,"[[0.7686740159988403, 0.22604376077651978, 0.005282179918140173]]"
250,BC mira segregação patrimonial em regulação cripto Autoridade pede sugestões sobre normas  infralegais para prestadores de serviços,1,"[[0.00010619154636515304, 0.9992617964744568, 0.0006320240208879113]]"
251,"BC publica normas do Pix Automático; veja como vai funcionar Mecanismo atuará de forma semelhante ao débito automático em conta para facilitar pagamentos recorrentes, como mensalidade de academia ou escola e assinatura de streaming, por exemplo",1,"[[0.00011876262578880414, 0.9988101720809937, 0.001071180566214025]]"
252,"BC reduz Selic a 11,75% na última reunião do ano Copom mantém sinalização de cortes de ‘mesma magnitude’ nas ‘próximas reuniões’",1,"[[0.12444672733545303, 0.8713653683662415, 0.004187928047031164]]"
253,BC reitera ritmo de corte da Selic para duas reuniões Campos diz que Copom não dispõe de informações suficientes neste momento para traçar cenários para além dos primeiros encontros de 2024,1,"[[0.3005366623401642, 0.6960304975509644, 0.003432828700169921]]"
254,"BC tem tido postura cautelosa, que não deve mudar com novos diretores, diz Gustavo Loyola Do lado fiscal, ainda há tendência de aumento de gastos, afirma Gustavo Loyola",1,"[[0.04966764152050018, 0.9461233615875244, 0.0042090145871043205]]"
255,BC vê inflação dentro do esperado e segue com distensão gradual Copom eleva estimativa do impacto do El Niño nos preços e cita possível excesso de demanda em relação à oferta,2,"[[0.0024859807454049587, 0.32035186886787415, 0.6771621704101562]]"
256,BC: Crescimento do Brasil tem a ver com incorporação de mão de obra BC diz que crescimento do PIB tem pouco a ver com aumento da produtividade ,2,"[[0.00042697988101281226, 0.0180501751601696, 0.9815229177474976]]"
257,"BCs queriam proibir bancos de interagir com cripto, mas esse trem partiu, diz Campos Neto Presidente do Banco Central disse que a negociação de ativos de forma tokenizada “veio para ficar”",1,"[[0.008363940753042698, 0.9855005145072937, 0.006135587114840746]]"
258,BCs: amplitude ou profundidade? A ampliação de funções do BC fortalece as críticas a seu “excesso de poder” e sua incompatibilidade com os princípios do regime democrático,1,"[[0.0027882030699402094, 0.984635055065155, 0.012576768174767494]]"
259,"BEE4 pluga Itaú e Genial como corretoras de ações ‘tokenizadas’ Casas serão as duas primeiras a atuar como distribuidoras de ativos digitais da plataforma, que faz parte do sandbox regulatório da CVM",1,"[[0.00011843351239804178, 0.9994773268699646, 0.00040430176886729896]]"
260,"BNDES aprova R$ 230 milhões para apoio a projetos de biometano Gás será produzido a partir de subprodutos do álcool, do açúcar e da decomposição de matéria orgânica de aterro sanitário localizado na cidade paulista de Caieiras",2,"[[0.00029226698097772896, 0.007823532447218895, 0.9918842315673828]]"
261,"BNDES assina contrato para modelar concessão de 2,4 mil quilômetros de rodovias em Minas Gerais Rodovias fazem parte da terceira rodada do programa de concessão de rodovias estaduais e estão localizadas nas regiões do Vetor Norte, da Zona da Mata e do Noroeste mineiro",1,"[[0.00043590247514657676, 0.9695516228675842, 0.030012551695108414]]"
262,BNDES assina parceria com Banco Mundial para indústria de baixo carbono As instituições assinaram memorando de entendimento para desenvolver mecanismos financeiros e apoiar projetos voltados à cadeia de hidrogênio de baixo carbono,1,"[[0.00025151186855509877, 0.997314989566803, 0.002433417597785592]]"
263,"BNDES assume Coalizão Verde, que deve movimentar até US$ 20 bilhões para Amazônia Grupo é uma união inédita entre o BNDES e 17 bancos públicos de fomento dos países da bacia amazônica, em parceria com BIG=D, Banco Mundial e CAF",1,"[[0.00014712529082316905, 0.9981948733329773, 0.0016580872470512986]]"
264,"BNDES atinge recorde de operações no setor de infraestrutura em 2023  As aprovações para projetos de transportes, logística, mobilidade e saneamento devem fechar o ano em R$ 37,5 bilhões, um crescimento de 8,4% comparado a 2022",2,"[[0.0004281745641492307, 0.0010380182648077607, 0.9985338449478149]]"
265,"BNDES capta R$ 611 milhões com banco alemão para mobilidade e meio ambiente Projetos apoiados deverão demonstrar uma redução significativa nas emissões de CO2 e gases de efeito estufa, além de promover a inclusão social",1,"[[0.001087419455870986, 0.9803423285484314, 0.01857024058699608]]"
266,"BNDES estará com Petrobras na Margem Equatorial, diz Mercadante Em seminário sobre transição energética na sede da instituição, no Rio de Janeiro, ele disse que o banco pode vir a financiar fornecedores da petrolífera",1,"[[0.00019622624677140266, 0.9984631538391113, 0.001340647810138762]]"
267,"BNDES não pode ficar a ‘pão seco sem mortadela’, diz Lula Presidente estimula banco a ‘pedir dinheiro’ para Haddad",1,"[[0.012017598375678062, 0.9543483853340149, 0.03363405540585518]]"
268,BNDES recebe doação de 20 milhões de euros da Alemanha para o Fundo Amazônia Os recursos correspondem ao primeiro desembolso da doação de 35 milhões de euros divulgada pelo país europeu em janeiro deste ano,1,"[[0.0002324724628124386, 0.9886178374290466, 0.01114970538765192]]"
269,"BNDES tem aumento de 94% na demanda por crédito em 11 meses, diz Mercadante Já as aprovações de crédito cresceram 63% nos 12 meses de 2023, ante 2022, segundo o presidente do banco de fomento",2,"[[0.00021990011737216264, 0.001089253812097013, 0.9986909031867981]]"
270,"BNP Paribas amplia setores financiados com restrição de emissões de CO2 Agronegócio, navegação , imobiliário e aviação serão os setores cujas carteiras de financiamento do banco passarão a ter metas de redução de emissões poluentes",1,"[[0.00021219337941147387, 0.999251663684845, 0.00053616106742993]]"
271,"BTG Pactual tem lucro líquido ajustado de R$ 2,73 bi no 3º tri, alta anual de 18,8%  Banco obteve novo recorde de receitas no período",2,"[[0.0003441395238041878, 0.000806697818916291, 0.9988491535186768]]"
272,BTG rebaixa recomendação das ações da B3 de compra para neutra O preço-alvo foi mantido em R$ 14 por papel,1,"[[0.0007320890435948968, 0.998843789100647, 0.0004241795395500958]]"
273,"BTG tem lucro recorde de R$ 2,7 bi no tri Resultado é puxado por áreas de gestão de recursos e de patrimônio, além de melhora em banco de investimento, com recorde de receita em emissão de dívida",2,"[[0.00027669710107147694, 0.0011177847627550364, 0.9986055493354797]]"
274,"BV lança nova plataforma automotiva  A plataforma “NaPista” se transformou em um portal para lojistas e também clientes finais, com uma linguagem natural nos mecanismos de buscas",1,"[[0.00010891600686591119, 0.9958454966545105, 0.004045676905661821]]"
275,Baixa taxa de poupança é obstáculo para acelerar o crescimento Uma das principais consequências é a dificuldade de financiar o investimento,0,"[[0.8493795394897461, 0.13737058639526367, 0.013249935582280159]]"
276,Balanço atrasado não muda meta de bancos de aprovar plano de Americanas Balanço atrasado não muda meta de bancos de aprovar plano de Americanas,1,"[[0.0011681774631142616, 0.9971585273742676, 0.0016733281081542373]]"
277,"Balanço da COP 28: a visão de quem estava na sala de negociação Neste artigo, as advogadas associadas à LACLIMA Anna Maria Cárcamo e Gaia Hasse contam o que se espera do pós conferência do clima",1,"[[0.00029661538428626955, 0.9988879561424255, 0.0008153832168318331]]"
278,Balanço deixa questões em aberto A recusa da BDO RCS em emitir um parecer é a mais imediata delas; os principais credores da Americanas se recusam a assinar o plano de recuperação judicial sem um balanço auditado,1,"[[0.0013553537428379059, 0.9952232241630554, 0.0034213995095342398]]"
279,"Balanço mexe peças no tabuleiro, mas há questões em aberto O plano racionaliza a operação da Americanas. Mas só o tempo dirá se será suficiente para sustentar o negócio no longo prazo",1,"[[0.00025763572193682194, 0.9974414110183716, 0.0023009139113128185]]"
280,"Balanço sem opinião do auditor, como o da Americanas, pode não ter implicações para a companhia No entanto, a ausência de opinião ou uma opinião com ressalva do auditor é considerada uma grande “bandeira vermelha” para a empresa",1,"[[0.04795166850090027, 0.9477089643478394, 0.004339436534792185]]"
281,"Bancas têm novo filão com figurinhas da Copa do Mundo Vendas agora desaceleram, mas faturamento feito em 90 dias equivale ao de um ano inteiro",1,"[[0.0004752572567667812, 0.9925127029418945, 0.007012051530182362]]"
282,"Banco ABC Brasil fará aumento de capital de até R$ 146,5 milhões Recursos deste aumento de capital serão destinados à manutenção dos índices de liquidez e de capitalização da companhia",2,"[[0.0006339397514238954, 0.4421032965183258, 0.5572627186775208]]"
283,Banco Central adia divulgação do IBC-Br de outubro para 20 de dezembro Mudança na data ocorreu devido à mobilização de servidores,1,"[[0.0030653004068881273, 0.9960010647773743, 0.0009335443610325456]]"
284,Banco Safra questiona na Justiça assembleia da Americanas para acordo com credores ,1,"[[0.0003284310223534703, 0.9989756345748901, 0.0006959837628528476]]"
285,"Banco de Desenvolvimento de Minas avança em captação de recursos internacionais No ano todo de 2023 entraram no caixa do banco R$ 1,32 bilhão em captações feitas no Brasil e no exterior. Em 2022 o valor captado entre recursos internos e externos foi de R$ 1,18 bilhão",1,"[[0.0007790255476720631, 0.9595044851303101, 0.03971652314066887]]"
286,Banco digitais apostam em transações e produtos customizados para empresas Produtos vão de automação de fluxo de pagamento dentro de cadeias e ecossistemas até a configuração e o rastreamento do Pix,1,"[[0.00011931359040318057, 0.9995737671852112, 0.0003069483791477978]]"
287,"Banco digital britânico projeta receita de US$ 2 bi em 2023 e expandir produtos no Brasil Revolut divulgou seus resultados de 2022, quando obteve receita de US$ 1,1 bilhão e lucro de US$ 7 milhões",2,"[[0.00027528186910785735, 0.006917285732924938, 0.9928073883056641]]"
288,"Bancos de fomento vão destinar US$ 10 bi para integração regional do Mercosul A iniciativa, batizada de “Rotas para a integração”, prevê apoio financeiro e técnico a projetos estratégicos, sobretudo de infraestrutura",1,"[[0.0003648699203040451, 0.9592899680137634, 0.040345121175050735]]"
289,Bancos devem explorar relação com empresas ,1,"[[0.00012199540651636198, 0.9995145797729492, 0.00036342962994240224]]"
290,"Bancos devem rolar dívida da Americanas Aceno já foi feito informalmente, mas instituições financeiras e a companhia têm reunião nesta sexta",1,"[[0.023304153233766556, 0.9753739237785339, 0.0013219171669334173]]"
291,"Bancos e Americanas assinam acordo A expectativa inicial era de que um acordo fosse assinado na última sexta-feira, mas alguns pontos jurídicos alongaram as negociações, segundo fontes",1,"[[0.0009572878479957581, 0.9804773330688477, 0.01856544427573681]]"
292,Bancos e fintechs querem ir além dos serviços financeiros Movimentos refletem necessidade das instituições em se diferenciar no ambiente competitivo,1,"[[0.00029045838164165616, 0.9983612895011902, 0.001348135992884636]]"
293,"Bancos endurecem com Marisa após rombo na Americanas vir à tona Pressionada por dívida de curto prazo, rede contrata BR Partners e Galeazzi",0,"[[0.8771132826805115, 0.12119153141975403, 0.0016951318830251694]]"
294,"Bancos lucram R$ 25,2 bi no 3º trimestre Com crescimento de 1,4%, resultado dos quatro grandes começa a dar sinais de melhora",2,"[[0.0002992916270159185, 0.0006523189367726445, 0.9990484118461609]]"
295,"Bancos públicos financiaram R$ 56 bi a Estados e municípios para infraestrutura no ano Anúncio de números do BNDES, BB e Caixa foi feito em evento no Palácio do Planalto com a presença de Lula, ministros e governadores",1,"[[0.00016284083540085703, 0.9988400340080261, 0.0009970853570848703]]"
296,"Bancos querem aprovação do plano de recuperação judicial da Americanas ainda em 2023 Credores e empresa não têm a intenção de alterar o cronograma que está na mesa para a aprovação do plano, mesmo após a nova postergação da divulgação dos balanços",1,"[[0.0009182353387586772, 0.9946645498275757, 0.00441723084077239]]"
297,"Bilionário Marcel Telles, da 3G Capital, entrega participação na AB InBev para filho A participação de Telles na AB InBev, que ele ajudou a construir por meio de uma série de negócios com seus sócios Jorge Paulo Lemann e Carlos Sicupira, vale cerca de US$ 6,1 bilhões, Bloomberg Billionaires Index",1,"[[0.00011932080087717623, 0.9988375306129456, 0.0010431328555569053]]"
298,Bitcoin cai após bater nos US$ 38 mil e investidores ficam atentos a ETFs Criptomoedas seguem Wall Street após economia dos EUA crescer mais do que o esperado,0,"[[0.5502523183822632, 0.4312315583229065, 0.01851610466837883]]"
299,"Bitcoin entre US$ 34 mil e US$ 100 mil em 2024: Motivos para ‘dobrar aposta’ ou ficar com ‘pé atrás’, segundo especialistas Entusiastas acreditam que a valorização recente foi apenas a ponta de um iceberg e que uma “nova pernada” de alta está prestes a acontecer assim que a SEC aprovar, no início de janeiro, os esperados fundos negociados em bolsa de criptomoedas à vista",1,"[[0.001057538902387023, 0.9943175911903381, 0.004624936729669571]]"
300,Bitcoin oscila pouco abaixo de US$ 43 mil no último dia útil do ano Forte valorização no ano ocorre com a perspectiva da entrada de dinheiro novo com a possível aprovação dos fundos negociados em bolsa (ETFs) de criptoativos à vista nos Estados Unidos no início de janeiro,1,"[[0.0009738244116306305, 0.9969195127487183, 0.002106701023876667]]"
301,"Bitcoin recua para menos de US$ 42 mil no último dia útil de 2023 Mesmo assim, a maior e mais antiga das criptomoedas deve terminar 2023 com uma valorização acumulada de 153% e entre os ativos de risco de melhor performance no ano",0,"[[0.914141058921814, 0.05809023976325989, 0.02776862308382988]]"
302,"Bitcoin sobe 160% no ano com expectativa de novo ‘verão cripto’ Alta é embalada pela perspectiva, ainda a ser confirmada, da entrada de dinheiro novo com possível aprovação ETFs de ativos digitais",2,"[[0.0004600189276970923, 0.10777835547924042, 0.8917616009712219]]"
303,"Bitcoin volta a cair e perde patamar de US$ 43 mil no penúltimo dia útil do ano   Em reais, o bitcoin subiu 136,4% no ano, com o ganho diluído em parte pela baixa do dólar no Brasil",1,"[[0.01077745296061039, 0.5152198672294617, 0.4740027189254761]]"
304,"Bitso traz foco para o b2b e lança plataforma de dólar cripto voltado a empresas no Brasil Após chegar no país com marketing voltado ao investidor de varejo, exchange se expande com solução de eFX que olha para o mundo corporativo",1,"[[0.00017918716184794903, 0.9883451461791992, 0.011475690640509129]]"
305,"Black Friday 2023: 67% dos brasileiros aproveitarão promoções este ano Levantamento da camara-e.net prevê crescimento de 5% nas vendas do varejo, no período promocional deste ano",2,"[[0.0003898960130754858, 0.03567138686776161, 0.9639387130737305]]"
306,"Black Friday 2023: Vendas on-line recuam 8,8% puxadas por celulares Entre quinta-feira (23) às 00:01 e sexta-feira (24) ao meio-dia, o volume de vendas atingiu R$ 1,7 bilhão. Queda foi puxada por celulares com recuo de 33,9% nas vendas",0,"[[0.9881616234779358, 0.010940256528556347, 0.0008981509017758071]]"
307,"Black Friday ajuda a segurar inflação de novembro, diz IBGE Redução de preço foi verificada em itens como perfumes, roupas, computadores e aparelhos de telefone",1,"[[0.0026365763042122126, 0.9652008414268494, 0.032162461429834366]]"
308,"Black Friday chinesa terá R$ 34 milhões em cupons da Shein, Shopee e AliExpress O Dia dos Solteiros virou um fenômeno varejista impulsionado pela China, dona do maior mercado consumidor do mundo. Lá, foram mais de US$ 156 bilhões em vendas no ano passado",1,"[[0.0015937128337100148, 0.864355742931366, 0.13405050337314606]]"
309,Black Friday fracassa em 2023 e é a segunda pior da história no Brasil Renda da população ainda comprometida com dívidas e descontos abaixo do esperado pelos consumidores podem ter afetado desempenho,0,"[[0.9981629252433777, 0.0014368356205523014, 0.0004002592177130282]]"
310,Black Friday ou Black Fraude? Estes sites tiram a sua dúvida Especialistas explicam quando os descontos realmente valem a pena e como os comparadores de preço funcionam,1,"[[0.0006834339583292603, 0.9984482526779175, 0.0008682725019752979]]"
311,"Black Friday registra R$ 3,4 milhões em tentativas de fraude em 12 horas Valor estimado em tentativas de golpes no e-commerce, até o meio-dia desta sexta-feira (24) recuou 61,9% ante igual intervalo do ano passado, aponta um levantamento da ClearSale",0,"[[0.9959717392921448, 0.0034366559702903032, 0.0005916187074035406]]"
312,"Black Friday terá disputa de Shein, Shopee e AliExpress contra Magalu, Riachuelo e Renner As varejistas nacionais começam a agir em duas frentes: criando suas próprias plataformas de venda de mercadorias importadas (o chamado “cross border”) ou intensificando a compra de produtos do Mercosul",1,"[[0.003274208167567849, 0.994587779045105, 0.0021378991659730673]]"
313,"Black Friday é a segunda pior da história Bens duráveis decepcionam, mas alimentos e moda vão melhor; cenário obriga reação no Natal",0,"[[0.9341927170753479, 0.06416428089141846, 0.001643011230044067]]"
314,"Black Friday: Buscas por TV caem no e-commerce, mas aumenta a procura por geladeira e brinquedo Isso indica que parte dos consumidores antecipou a compra de TVs, por conta da Copa do Catar",0,"[[0.8893939256668091, 0.10909634828567505, 0.001509717432782054]]"
315,"Black Friday: Intenção de compra na  cai em relação a 2021, diz Nielsen IQ A pesquisa aponta que 78,7% dos entrevistados devem realizar compras no período, enquanto em 2021 a estimativa era de 89%",1,"[[0.05896899104118347, 0.9372627139091492, 0.0037682796828448772]]"
316,"Black Friday: Mais de 600 consumidores fizeram queixa no Procon-SP até as 12h Neste dia oficial do evento, as maiores queixas foram sobre atraso e não entrega de produtos, representando 34% dos casos",0,"[[0.7636364102363586, 0.23423928022384644, 0.0021242303773760796]]"
317,"Black Friday: Mercado Livre vê efeito negativo de jogo do Brasil, mas sente melhora nesta 6ª feira Os itens mais buscados ontem foram camiseta do Brasil, árvore de Natal, macacão feminino, sandália feminina, vestido, sendo que, no ano passado, no “top 10” estavam a TV, notebook e celulares",0,"[[0.9854804873466492, 0.013098439201712608, 0.0014210683293640614]]"
318,"Black Friday: Na contramão do Brasil, vendas on-line nos EUA crescem 7,5% e faturamento bate recorde Resultado trouxe um sinal positivo para os varejistas do país, que enfrentam projeções de vendas fracas para a temporada de fim de ano",2,"[[0.0005158699932508171, 0.0015409061452373862, 0.9979432225227356]]"
319,"Black Friday: Veja 10 dicas para evitar golpes e fraudes em compras on-line Rever senhas, buscar lojas verificadas e desconfiar até mesmo do cadeado digital estão entre as dicas de varejistas, bancos e especialistas para fazer compras seguras na Black Friday 2022",1,"[[0.003113726619631052, 0.9920130372047424, 0.0048732031136751175]]"
320,"Black Friday: emprego temporário pode ajudar currículo e abrir portas Grandes empresa abrem vagas para candidatos sem experiência prévia e que, em alguns casos, podem levar a oportunidades futuras",2,"[[0.0014291417319327593, 0.269998699426651, 0.7285721898078918]]"
321,"BlackRock prefere juros a ações e enxerga mercado mais disperso em 2024 Cenário exigirá gestão mais ativa e dinâmica de recursos, diz relatório",1,"[[0.005578046664595604, 0.9849181771278381, 0.009503773413598537]]"
322,"BofA e Citi veem melhora para emergentes com ganhos de carry Ativos dos países em desenvolvimento ficaram sob pressão com a disparada dos rendimentos dos Treasuries americanos, mas mercado da dívida dos EUA se acalmou",2,"[[0.0010944922687485814, 0.002899455139413476, 0.9960060715675354]]"
323,"BofA vê riscos baixistas para a projeção de Selic a 9,5% em 2024 Definições sobre política fiscal doméstica e juros nos EUA são as principais variáveis para a condução da política monetária no Brasil",0,"[[0.8445237278938293, 0.15342923998832703, 0.002047022571787238]]"
324,"Bolsa acelera na reta final do ano, desbanca renda fixa e tem maior retorno desde 2019 Percepção de corte nas taxas juros no Brasil e no exterior deu fôlego à renda variável",2,"[[0.0047164252027869225, 0.09272943437099457, 0.9025541543960571]]"
325,"Bolsa e juros futuros têm dia favorável, apesar da China Ibovespa subiu 0,24%; taxas longas terminaram em queda",2,"[[0.0015407154569402337, 0.012394273653626442, 0.9860650300979614]]"
326,Bolsa estende rali e passa a subir no ano Ações ligadas à economia local reforçam recuperação e Ibovespa retoma nível de 110 mil pontos pela primeira vez desde fevereiro; dólar avança com exterior,2,"[[0.0005913401837460697, 0.005838319659233093, 0.9935703277587891]]"
327,Bolsa impõe sanções à Americanas Suspensão de selo do Novo Mercado é uma decisão inédita da B3 e agrava a crise reputacional da varejista envolvida em uma fraude contábil tida como a maior da história do país,0,"[[0.9968448877334595, 0.002582686021924019, 0.0005724477232433856]]"
328,Bolsa sobe com exportadoras após PIB chinês; fiscal fica no radar Investidores analisaram o detalhamento da proposta de arcabouço fiscal entregue pelo governo ao Congresso,1,"[[0.0002278538595419377, 0.9993225336074829, 0.0004496331384871155]]"
329,"Bolsas da Europa avançam com desaceleração da inflação nos dois lados do Atlântico O índice Stoxx 600 subiu 0,51%, o DAX, de Frankfurt, anotou alta de 0,30%, o parisiense CAC 40 escalou 0,59% e o londrino FTSE 100 valorizou 0,47%",2,"[[0.0005151035729795694, 0.002525861607864499, 0.9969590902328491]]"
330,"Bolsas da Europa avançam, impulsionadas por ações de aéreas e de marcas de luxo O índice Stoxx 600 terminou o dia com alta de 0,28%, em Frankfurt, o DAX subiu 0,51% e, em Paris, o CAC 40 avançou 0,69%",2,"[[0.0003075769345741719, 0.0014046436408534646, 0.9982877373695374]]"
331,"Bolsas da Europa encerram pregão de pouca liquidez em leve alta Índice Stoxx 600, que compila ações de 17 mercados da Europa, fechou em alta de 0,21%, a 478,62 pontos",2,"[[0.0006860825233161449, 0.001573637593537569, 0.9977402687072754]]"
332,Bolsas da Europa fecham em alta forte com desaceleração da inflação local Índices acumulam ganhos de até 4% na semana com percepção de que ciclo de alta de juros terminou na maioria das economias desenvolvidas,2,"[[0.0007936937618069351, 0.0029019240755587816, 0.9963043928146362]]"
333,"Bolsas da Europa fecham majoritariamente em alta no último pregão antes do Natal  O índice pan-europeu Stoxx 600 fechou em alta de 0,14% aos 477,60 pontos",2,"[[0.0009241918451152742, 0.023139849305152893, 0.9759359955787659]]"
334,Bolsas da Ásia fecham em alta expressiva com CPI dos EUA e consumo na China Encontro entre presidente dos EUA e dirigente da China mereceu acompanhamento dos investidores,1,"[[0.0014683461049571633, 0.9888673424720764, 0.009664342738687992]]"
335,"Bolsas da Ásia ficam próximas da estabilidade em meio a feriados  Na China, investidores ainda avaliando o impacto do projeto de leis que propôs regulamentos para os jogos online",1,"[[0.00026985883596353233, 0.9963595271110535, 0.0033706258982419968]]"
336,"Bolsas da Ásia sobem diante de rali nos juros globais; Xangai é exceção Dados chineses acabaram afetando as operações na bolsa de Xangai, que encerrou em queda",0,"[[0.9082539677619934, 0.08982839435338974, 0.0019177100621163845]]"
337,"Bolsas de NY acumulam quarta alta semanal consecutiva No pregão reduzido dessa sexta-feira (24) — por causa do feriado de Dia de Ação de Graças —, o Dow Jones anotou alta de 0,33%, o S&P 500 subiu 0,06% e o Nasdaq recuou 0,11%",2,"[[0.005863195285201073, 0.2549973428249359, 0.7391394972801208]]"
338,Bolsas de NY caem com realização de lucros à espera de dados de inflação  Os ajustes estão sendo feitos no primeiro pregão com horário normal depois do feriado de Ação de Graças em dia sem grandes catalisadores,1,"[[0.2162562906742096, 0.779451847076416, 0.004291912540793419]]"
339,"Bolsas de NY estendem rali, ainda refletindo decisão do Fed, e encerram em alta O índice Dow Jones anotou alta de 0,43%, a 37.248,35 pontos, novamente batendo seu recorde histórico de fechamento, o S&P 500 avançou 0,26%, a 4.719,55 pontos, e o Nasdaq subiu 0,19%, a 14.761,56 pontos",2,"[[0.00041074922773987055, 0.002157021313905716, 0.997432291507721]]"
340,Bolsas de NY fecham em alta modesta e acumulam ganhos de 2% na semana Índices se afastaram das mínimas intradiárias e tiveram ganhos modestos,2,"[[0.002493188949301839, 0.1405404657125473, 0.8569663763046265]]"
341,Bolsas de Nova York avançam com taxas de Treasuries e dólar em queda após Fed Movimento é impulsionado pelo bom humor do mercado após tom suave adotado pelo BC dos EUA ,2,"[[0.00042772345477715135, 0.02409539371728897, 0.9754769206047058]]"
342,Bolsas de Nova York têm leve recuperação no fim do pregão e fecham sem direção única Índices deram uma pausa no ímpeto positivo das últimas sessões enquanto acompanharam indicadores que mostraram arrefecimento mais forte que o esperado da atividade e do mercado de trabalho dos EUA,2,"[[0.00040969386463984847, 0.0014644288457930088, 0.9981258511543274]]"
343,Bolsas dos EUA se ajustam em alta em reação ao PPI e deixam Treasuries em 2º plano ,2,"[[0.002360900631174445, 0.352448046207428, 0.645190954208374]]"
344,"Bonança externa é chance de ajustar fiscal, diz Srour Para diretora do UBS Global Wealth Management, país precisa aproveitar força das contas externas e arrumar contas públicas",2,"[[0.0006296115461736917, 0.017743056640028954, 0.9816272854804993]]"
345,"Bonificações a fornecedor voltam a assombrar investidor Para analistas, erros contábeis são golpe na confiança do investidor",0,"[[0.988049328327179, 0.010213440284132957, 0.001737244427204132]]"
